ORPHAcode,Disorder name,Disorder type,Gene symbol,Gene name,Gene type,Gene synonyms,Locus,Validation source
84,Fanconi anemia,Malformation syndrome,PALB2,partner and localizer of BRCA2,gene with protein product,"['FANCN', 'FLJ21816', 'Fanconi anemia, complementation group N']","[{'GeneLocus': '16p12.2', 'LocusKey': 1}]",20301575[PMID]
84,Fanconi anemia,Malformation syndrome,RAD51C,RAD51 paralog C,gene with protein product,"['FANCO', 'RAD51L2']","[{'GeneLocus': '17q22', 'LocusKey': 1}]",20301575[PMID]
84,Fanconi anemia,Malformation syndrome,SLX4,SLX4 structure-specific endonuclease subunit,gene with protein product,"['FANCP', 'Fanconi anemia, complementation group P', 'KIAA1784', 'KIAA1987']","[{'GeneLocus': '16p13.3', 'LocusKey': 1}]",20301575[PMID]
84,Fanconi anemia,Malformation syndrome,UBE2T,ubiquitin conjugating enzyme E2 T,gene with protein product,"['FANCT', 'HSPC150']","[{'GeneLocus': '1q32.1', 'LocusKey': 1}]",26046368[PMID]
86,Familial abdominal aortic aneurysm,Disease,COL3A1,collagen type III alpha 1 chain,gene with protein product,,"[{'GeneLocus': '2q32.2', 'LocusKey': 1}]",2243125[PMID]_10388642[PMID]
87,Apert syndrome,Malformation syndrome,FGFR2,fibroblast growth factor receptor 2,gene with protein product,"['CD332', 'CEK3', 'Crouzon syndrome', 'ECT1', 'K-SAM', 'Pfeiffer syndrome', 'TK14', 'TK25']","[{'GeneLocus': '10q26.13', 'LocusKey': 1}]",20301628[PMID]_23593218[PMID]_15282208[PMID]
88,Idiopathic aplastic anemia,Disease,PRF1,perforin 1,gene with protein product,"['HPLH2', 'P1', 'PFP', 'Perforin', 'perforin 1 (preforming protein)']","[{'GeneLocus': '10q22.1', 'LocusKey': 1}]",17311987[PMID]
88,Idiopathic aplastic anemia,Disease,SBDS,SBDS ribosome maturation factor,gene with protein product,"['CGI-97', 'FLJ10917', 'SDO1', 'SDS', 'SWDS']","[{'GeneLocus': '7q11.21', 'LocusKey': 1}]",17478638[PMID]
88,Idiopathic aplastic anemia,Disease,IFNG,interferon gamma,gene with protein product,,"[{'GeneLocus': '12q15', 'LocusKey': 1}]",15327519[PMID]
88,Idiopathic aplastic anemia,Disease,TERT,telomerase reverse transcriptase,gene with protein product,"['EST2', 'TCS1', 'TP2', 'TRT', 'hEST2']","[{'GeneLocus': '5p15.33', 'LocusKey': 1}]",16627250[PMID]_16990594[PMID]
88,Idiopathic aplastic anemia,Disease,TERC,telomerase RNA component,Non-coding RNA,"['SCARNA19', 'TER', 'TR', 'TRC3', 'hTR', 'small Cajal body-specific RNA 19']","[{'GeneLocus': '3q26.2', 'LocusKey': 1}]",12090986[PMID]
90,Argininemia,Disease,ARG1,arginase 1,gene with protein product,['arginase-1'],"[{'GeneLocus': '6q23.2', 'LocusKey': 1}]",20301338[PMID]
91,Aromatase deficiency,Disease,CYP19A1,cytochrome P450 family 19 subfamily A member 1,gene with protein product,"['ARO', 'ARO1', 'CPV1', 'CYAR', 'P-450AROM', 'aromatase']","[{'GeneLocus': '15q21.2', 'LocusKey': 1}]",21521281[PMID]
93,Aspartylglucosaminuria,Disease,AGA,aspartylglucosaminidase,gene with protein product,"['ASRG', 'N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase', 'glycosylasparaginase']","[{'GeneLocus': '4q34.3', 'LocusKey': 1}]",11309371[PMID]
95,Friedreich ataxia,Disease,FXN,frataxin,gene with protein product,"['CyaY', 'FA', 'FARR', 'X25']","[{'GeneLocus': '9q21.11', 'LocusKey': 1}]",21776984[PMID]
96,Ataxia with vitamin E deficiency,Disease,TTPA,alpha tocopherol transfer protein,gene with protein product,,"[{'GeneLocus': '8q12.3', 'LocusKey': 1}]",
97,Familial paroxysmal ataxia,Disease,CACNA1A,calcium voltage-gated channel subunit alpha1 A,gene with protein product,"['APCA', 'Cav2.1', 'EA2', 'FHM', 'HPCA']","[{'GeneLocus': '19p13.13', 'LocusKey': 1}]",20301674[PMID]
98,Autosomal recessive spastic ataxia of Charlevoix-Saguenay,Disease,SACS,sacsin molecular chaperone,gene with protein product,"['ARSACS', 'DKFZp686B15167', 'DNAJC29', 'KIAA0730', 'PPP1R138', 'SPAX6', 'protein phosphatase 1, regulatory subunit 138']","[{'GeneLocus': '13q12.12', 'LocusKey': 1}]",20301432[PMID]
100,Ataxia-telangiectasia,Disease,ATM,ATM serine/threonine kinase,gene with protein product,"['TEL1', 'TEL1, telomere maintenance 1, homolog (S. cerevisiae)', 'TELO1']","[{'GeneLocus': '11q22.3', 'LocusKey': 1}]",20301790[PMID]
101,Dentatorubral pallidoluysian atrophy,Disease,ATN1,atrophin 1,gene with protein product,['B37'],"[{'GeneLocus': '12p13.31', 'LocusKey': 1}]",
104,Leber hereditary optic neuropathy,Disease,NDUFS2,NADH:ubiquinone oxidoreductase core subunit S2,gene with protein product,"['CI-49', 'NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial', 'complex I 49kDa subunit']","[{'GeneLocus': '1q23.3', 'LocusKey': 1}]",28031252[PMID]
104,Leber hereditary optic neuropathy,Disease,DNAJC30,DnaJ heat shock protein family (Hsp40) member C30,gene with protein product,,"[{'GeneLocus': '7q11.23', 'LocusKey': 1}]",33465056[PMID]
104,Leber hereditary optic neuropathy,Disease,MT-ATP6,mitochondrially encoded ATP synthase membrane subunit 6,gene with protein product,"['ATP6', 'ATPase-6', 'Su6m', 'mitochondrially encoded ATP synthase membrane subunit a']","[{'GeneLocus': 'mitochondria', 'LocusKey': 1}]",20301353[PMID]
104,Leber hereditary optic neuropathy,Disease,MT-CO1,mitochondrially encoded cytochrome c oxidase I,gene with protein product,"['COI', 'COX1']","[{'GeneLocus': 'mitochondria', 'LocusKey': 1}]",1322638[PMID]
104,Leber hereditary optic neuropathy,Disease,MT-CO3,mitochondrially encoded cytochrome c oxidase III,gene with protein product,"['CO3', 'COIII', 'COX3']","[{'GeneLocus': 'mitochondria', 'LocusKey': 1}]",20301353[PMID]
104,Leber hereditary optic neuropathy,Disease,MT-CYB,mitochondrially encoded cytochrome b,gene with protein product,"['COB', 'CYTB', 'UQCR3']","[{'GeneLocus': 'mitochondria', 'LocusKey': 1}]",20301353[PMID]
104,Leber hereditary optic neuropathy,Disease,MT-ND1,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1,gene with protein product,"['NAD1', 'NADH-ubiquinone oxidoreductase chain 1', 'ND1', 'complex I ND1 subunit']","[{'GeneLocus': 'mitochondria', 'LocusKey': 1}]",20301353[PMID]
104,Leber hereditary optic neuropathy,Disease,MT-ND2,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2,gene with protein product,"['NAD2', 'NADH-ubiquinone oxidoreductase chain 2', 'ND2', 'complex I ND2 subunit']","[{'GeneLocus': 'mitochondria', 'LocusKey': 1}]",20301353[PMID]
104,Leber hereditary optic neuropathy,Disease,MT-ND4,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4,gene with protein product,"['NAD4', 'NADH-ubiquinone oxidoreductase chain 4', 'ND4', 'complex I ND4 subunit']","[{'GeneLocus': 'mitochondria', 'LocusKey': 1}]",20301353[PMID]
104,Leber hereditary optic neuropathy,Disease,MT-ND4L,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L,gene with protein product,"['NAD4L', 'NADH-ubiquinone oxidoreductase chain 4L', 'ND4L', 'complex I ND4L subunit']","[{'GeneLocus': 'mitochondria', 'LocusKey': 1}]",20301353[PMID]
104,Leber hereditary optic neuropathy,Disease,MT-ND5,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5,gene with protein product,"['NAD5', 'NADH-ubiquinone oxidoreductase chain 5', 'ND5', 'complex I ND5 subunit']","[{'GeneLocus': 'mitochondria', 'LocusKey': 1}]",20301353[PMID]
104,Leber hereditary optic neuropathy,Disease,MT-ND6,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6,gene with protein product,"['NAD6', 'NADH-ubiquinone oxidoreductase chain 6', 'ND6', 'complex I ND6 subunit']","[{'GeneLocus': 'mitochondria', 'LocusKey': 1}]",20301353[PMID]
107,BOR syndrome,Malformation syndrome,SIX1,SIX homeobox 1,gene with protein product,,"[{'GeneLocus': '14q23.1', 'LocusKey': 1}]",20301554[PMID]
107,BOR syndrome,Malformation syndrome,EYA1,EYA transcriptional coactivator and phosphatase 1,gene with protein product,,"[{'GeneLocus': '8q13.3', 'LocusKey': 1}]",20301554[PMID]
107,BOR syndrome,Malformation syndrome,SIX5,SIX homeobox 5,gene with protein product,,"[{'GeneLocus': '19q13.32', 'LocusKey': 1}]",20301554[PMID]
109,Bannayan-Riley-Ruvalcaba syndrome,Malformation syndrome,PTEN,phosphatase and tensin homolog,gene with protein product,"['MMAC1', 'PTEN1', 'Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN', 'TEP1', 'mutated in multiple advanced cancers 1']","[{'GeneLocus': '10q23.31', 'LocusKey': 1}]",20301661[PMID]
110,Bardet-Biedl syndrome,Disease,BBS1,Bardet-Biedl syndrome 1,gene with protein product,['FLJ23590'],"[{'GeneLocus': '11q13.2', 'LocusKey': 1}]",20301537[PMID]
110,Bardet-Biedl syndrome,Disease,BBS10,Bardet-Biedl syndrome 10,gene with protein product,['FLJ23560'],"[{'GeneLocus': '12q21.2', 'LocusKey': 1}]",23219996[PMID]_23403234[PMID]_20301537[PMID]
110,Bardet-Biedl syndrome,Disease,BBS2,Bardet-Biedl syndrome 2,gene with protein product,,"[{'GeneLocus': '16q13', 'LocusKey': 1}]",20301537[PMID]
110,Bardet-Biedl syndrome,Disease,BBS4,Bardet-Biedl syndrome 4,gene with protein product,,"[{'GeneLocus': '15q24.1', 'LocusKey': 1}]",20301537[PMID]
110,Bardet-Biedl syndrome,Disease,BBS5,Bardet-Biedl syndrome 5,gene with protein product,['DKFZp762I194'],"[{'GeneLocus': '2q31.1', 'LocusKey': 1}]",20301537[PMID]
110,Bardet-Biedl syndrome,Disease,BBS7,Bardet-Biedl syndrome 7,gene with protein product,"['BBS2L1', 'FLJ10715']","[{'GeneLocus': '4q27', 'LocusKey': 1}]",20301537[PMID]
110,Bardet-Biedl syndrome,Disease,BBS9,Bardet-Biedl syndrome 9,gene with protein product,"['B1', 'PTHB1', 'parathyroid hormone responsive B1 gene']","[{'GeneLocus': '7p14.3', 'LocusKey': 1}]",20301537[PMID]
110,Bardet-Biedl syndrome,Disease,CEP290,centrosomal protein 290,gene with protein product,"['3H11Ag', 'BBS14', 'Bardet-Biedl syndrome 14', 'CT87', 'FLJ13615', 'JBTS5', 'Joubert syndrome 5', 'KIAA0373', 'LCA10', 'MKS4', 'Meckel syndrome, type 4', 'NPHP6', 'POC3', 'POC3 centriolar protein homolog (Chlamydomonas)', 'SLSN6', 'cancer/testis antigen 87', 'nephrocystin-6', 'rd16']","[{'GeneLocus': '12q21.32', 'LocusKey': 1}]",20301537[PMID]
110,Bardet-Biedl syndrome,Disease,TRIM32,tripartite motif containing 32,gene with protein product,"['BBS11', 'HT2A', 'TATIP']","[{'GeneLocus': '9q33.1', 'LocusKey': 1}]",20301537[PMID]
110,Bardet-Biedl syndrome,Disease,TTC8,tetratricopeptide repeat domain 8,gene with protein product,"['BBS8', 'RP51']","[{'GeneLocus': '14q31.3', 'LocusKey': 1}]",20301537[PMID]
110,Bardet-Biedl syndrome,Disease,ARL6,ADP ribosylation factor like GTPase 6,gene with protein product,['RP55'],"[{'GeneLocus': '3q11.2', 'LocusKey': 1}]",20301537[PMID]
110,Bardet-Biedl syndrome,Disease,MKKS,MKKS centrosomal shuttling protein,gene with protein product,,"[{'GeneLocus': '20p12.2', 'LocusKey': 1}]",20301537[PMID]
110,Bardet-Biedl syndrome,Disease,MKS1,MKS transition zone complex subunit 1,gene with protein product,"['BBS13', 'FLJ20345', 'POC12', 'POC12 centriolar protein homolog (Chlamydomonas)']","[{'GeneLocus': '17q22', 'LocusKey': 1}]",18327255[PMID]_20301537[PMID]
110,Bardet-Biedl syndrome,Disease,NPHP1,nephrocystin 1,gene with protein product,"['JBTS4', 'SLSN1']","[{'GeneLocus': '2q13', 'LocusKey': 1}]",24746959[PMID]
110,Bardet-Biedl syndrome,Disease,BBS12,Bardet-Biedl syndrome 12,gene with protein product,"['FLJ35630', 'FLJ41559']","[{'GeneLocus': '4q27', 'LocusKey': 1}]",20301537[PMID]
110,Bardet-Biedl syndrome,Disease,SDCCAG8,SHH signaling and ciliogenesis regulator SDCCAG8,gene with protein product,"['BBS16', 'Bardet-Biedl syndrome 16', 'CCCAP', 'NPHP10', 'NY-CO-8', 'SLSN7', 'Senior-Loken syndrome 7', 'centrosomal colon cancer autoantigen protein', 'nephrocystin 10']","[{'GeneLocus': '1q43-q44', 'LocusKey': 1}]",20835237[PMID]_20301537[PMID]
110,Bardet-Biedl syndrome,Disease,WDPCP,WD repeat containing planar cell polarity effector,gene with protein product,"['BBS15', 'CPLANE5', 'ciliogenesis and planar polarity effector complex subunit 5', 'fritz', 'hFrtz']","[{'GeneLocus': '2p15', 'LocusKey': 1}]",20301537[PMID]
110,Bardet-Biedl syndrome,Disease,LZTFL1,leucine zipper transcription factor like 1,gene with protein product,['BBS17'],"[{'GeneLocus': '3p21.31', 'LocusKey': 1}]",22510444[PMID]_20301537[PMID]
110,Bardet-Biedl syndrome,Disease,IFT172,intraflagellar transport 172,gene with protein product,"['BBS20', 'NPHP17', 'SLB', 'osm-1', 'wim', 'wimple homolog']","[{'GeneLocus': '2p23.3', 'LocusKey': 1}]",25168386[PMID]
110,Bardet-Biedl syndrome,Disease,BBIP1,BBSome interacting protein 1,gene with protein product,"['BBIP10', 'BBS18', 'bA348N5.3']","[{'GeneLocus': '10q25.2', 'LocusKey': 1}]",24026985[PMID]_20301537[PMID]
110,Bardet-Biedl syndrome,Disease,IFT27,intraflagellar transport 27,gene with protein product,"['BBS19', 'CFAP156', 'FAP156', 'RAYL']","[{'GeneLocus': '22q12.3', 'LocusKey': 1}]",24488770[PMID]
110,Bardet-Biedl syndrome,Disease,IFT74,intraflagellar transport 74,gene with protein product,"['CMG-1', 'CMG1', 'FLJ22621', 'capillary morphogenesis protein 1']","[{'GeneLocus': '9p21.2', 'LocusKey': 1}]",27486776[PMID]
110,Bardet-Biedl syndrome,Disease,CEP19,centrosomal protein 19,gene with protein product,['MGC14126'],"[{'GeneLocus': '3q29', 'LocusKey': 1}]",29127258[PMID]
110,Bardet-Biedl syndrome,Disease,SCAPER,S-phase cyclin A associated protein in the ER,gene with protein product,['Zfp291'],"[{'GeneLocus': '15q24.3', 'LocusKey': 1}]",30723319[PMID]
110,Bardet-Biedl syndrome,Disease,CFAP418,cilia and flagella associated protein 418,gene with protein product,"['BBS21', 'Bardet-Biedl syndrome 21', 'CORD16', 'FAP418', 'FLJ30600', 'MOT25', 'MOT25.', 'RP64', 'SMALLTALK', 'cone-rod dystrophy 16']","[{'GeneLocus': '8q22.1', 'LocusKey': 1}]",27008867[PMID]
110,Bardet-Biedl syndrome,Disease,SCLT1,sodium channel and clathrin linker 1,gene with protein product,"['FLJ30655', 'hCAP-1A']","[{'GeneLocus': '4q28.2', 'LocusKey': 1}]",32253632[PMID]
111,Barth syndrome,Disease,TAFAZZIN,"tafazzin, phospholipid-lysophospholipid transacylase",gene with protein product,"['BTHS', 'Barth syndrome', 'G4.5', 'TAZ1', 'XAP-2', 'transcriptional coactivator with PDZ-binding motif']","[{'GeneLocus': 'Xq28', 'LocusKey': 1}]",23843353[PMID]
115,Congenital contractural arachnodactyly,Malformation syndrome,FBN2,fibrillin 2,gene with protein product,"['DA9', 'fibrillin 5']","[{'GeneLocus': '5q23.3', 'LocusKey': 1}]",20301560[PMID]
117,Behçet disease,Disease,IL10,interleukin 10,gene with protein product,"['CSIF', 'IL-10', 'IL10A', 'T-cell growth inhibitory factor', 'TGIF', 'cytokine synthesis inhibitory factor']","[{'GeneLocus': '1q32.1', 'LocusKey': 1}]",20622878[PMID]_26015771[PMID]
117,Behçet disease,Disease,HLA-B,"major histocompatibility complex, class I, B",gene with protein product,,"[{'GeneLocus': '6p21.33', 'LocusKey': 1}]",20622878[PMID]
117,Behçet disease,Disease,FAS,Fas cell surface death receptor,gene with protein product,"['APO-1', 'CD95', 'TNF receptor superfamily member 6']","[{'GeneLocus': '10q23.31', 'LocusKey': 1}]",26136352[PMID]
117,Behçet disease,Disease,UBAC2,UBA domain containing 2,gene with protein product,"['FLJ30548', 'RP11-178C10.1']","[{'GeneLocus': '13q32.3', 'LocusKey': 1}]",21918955[PMID]_22455605[PMID]
117,Behçet disease,Disease,IL23R,interleukin 23 receptor,gene with protein product,['IL-23R'],"[{'GeneLocus': '1p31.3', 'LocusKey': 1}]",23633568[PMID]
117,Behçet disease,Disease,MEFV,"MEFV innate immunity regulator, pyrin",gene with protein product,"['FMF', 'TRIM20', 'marenostrin']","[{'GeneLocus': '16p13.3', 'LocusKey': 1}]",23633568[PMID]
117,Behçet disease,Disease,STAT4,signal transducer and activator of transcription 4,gene with protein product,,"[{'GeneLocus': '2q32.2-q32.3', 'LocusKey': 1}]",23001997[PMID]_26097239[PMID]
117,Behçet disease,Disease,C4A,complement C4A (Chido/Rodgers blood group),gene with protein product,"['C4', 'C4A2', 'C4A3', 'C4A4', 'C4A6', 'C4B', 'C4S', 'CO4', 'CPAMD2', 'RG']","[{'GeneLocus': '6p21.33', 'LocusKey': 1}]",23918728[PMID]
117,Behçet disease,Disease,IL12A,interleukin 12A,gene with protein product,"['CLMF', 'IL-12, subunit p35', 'IL-12A', 'IL35 subunit', 'NF cell stimulatory factor chain 1', 'NFSK', 'cytotoxic lymphocyte maturation factor 1, p35', 'interleukin 12, p35', 'interleukin-12 alpha chain', 'natural killer cell stimulatory factor 1, 35 kD subunit', 'p35']","[{'GeneLocus': '3q25.33', 'LocusKey': 1}]",25799145[PMID]
117,Behçet disease,Disease,TLR4,toll like receptor 4,gene with protein product,"['ARMD10', 'CD284', 'TLR-4', 'hToll']","[{'GeneLocus': '9q33.1', 'LocusKey': 1}]",23633568[PMID]
117,Behçet disease,Disease,CCR1,C-C motif chemokine receptor 1,gene with protein product,"['CD191', 'CKR-1', 'MIP1aR']","[{'GeneLocus': '3p21.31', 'LocusKey': 1}]",26097239[PMID]
117,Behçet disease,Disease,KLRC4,killer cell lectin like receptor C4,gene with protein product,['NKG2-F'],"[{'GeneLocus': '12p13.2', 'LocusKey': 1}]",26097239[PMID]
117,Behçet disease,Disease,IL12A-AS1,IL12A antisense RNA 1,Non-coding RNA,['ILAS1-AS1'],"[{'GeneLocus': '3q25.33', 'LocusKey': 1}]",26097239[PMID]
117,Behçet disease,Disease,ERAP1,endoplasmic reticulum aminopeptidase 1,gene with protein product,"['A-LAP', 'ARTS-1', 'ERAAP1', 'KIAA0525', 'PILS-AP', 'adipocyte-derived leucine aminopeptidase', 'aminopeptidase regulator of TNFR1 shedding', 'puromycin-insensitive leucyl-specific aminopeptidase']","[{'GeneLocus': '5q15', 'LocusKey': 1}]",26097239[PMID]
117,Behçet disease,Disease,IFNGR1,interferon gamma receptor 1,gene with protein product,['CD119'],"[{'GeneLocus': '6q23.3', 'LocusKey': 1}]",33393726[PMID]
118,Beta-mannosidosis,Disease,MANBA,mannosidase beta,gene with protein product,['beta-mannosidase A'],"[{'GeneLocus': '4q24', 'LocusKey': 1}]",18980795[PMID]
119,Beta-sarcoglycan-related limb-girdle muscular dystrophy R4,Disease,SGCB,sarcoglycan beta,gene with protein product,"['A3b', 'SGC']","[{'GeneLocus': '4q12', 'LocusKey': 1}]",20301582[PMID]
122,Birt-Hogg-Dubé syndrome,Malformation syndrome,PRDM10,PR/SET domain 10,gene with protein product,"['KIAA1231', 'MGC131802', 'PFM7', 'PR-domain family member 7', 'PRDM zinc finger transcription factor', 'tristanin']","[{'GeneLocus': '11q24.3', 'LocusKey': 1}]",37331486[PMID]
122,Birt-Hogg-Dubé syndrome,Malformation syndrome,FLCN,folliculin,gene with protein product,"['BHD', 'DENND8B', 'MGC17998', 'MGC23445']","[{'GeneLocus': '17p11.2', 'LocusKey': 1}]",20301695[PMID]
123,Björnstad syndrome,Disease,BCS1L,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone",gene with protein product,"['BCS', 'BJS', 'Bjornstad syndrome', 'GRACILE syndrome', 'Hs.6719', 'h-BCS']","[{'GeneLocus': '2q35', 'LocusKey': 1}]",17314340[PMID]_24172246[PMID]_24236502[PMID]
124,Diamond-Blackfan anemia,Disease,RPL18,ribosomal protein L18,gene with protein product,"['60S ribosomal protein L18', 'L18', 'eL18']","[{'GeneLocus': '19q13.33', 'LocusKey': 1}]",28280134[PMID]
124,Diamond-Blackfan anemia,Disease,RPS27,ribosomal protein S27,gene with protein product,"['MPS-1', 'MPS1', 'S27', 'eS27', 'metallopanstimulin 1']","[{'GeneLocus': '1q21.3', 'LocusKey': 1}]",25424902[PMID]
124,Diamond-Blackfan anemia,Disease,RPL27,ribosomal protein L27,gene with protein product,"['60S ribosomal protein L27', 'L27', 'eL27']","[{'GeneLocus': '17q21.31', 'LocusKey': 1}]",25424902[PMID]
124,Diamond-Blackfan anemia,Disease,RPS15A,ribosomal protein S15a,gene with protein product,"['S15A', 'uS8']","[{'GeneLocus': '16p12.3', 'LocusKey': 1}]",27909223[PMID]
124,Diamond-Blackfan anemia,Disease,TSR2,TSR2 ribosome maturation factor,gene with protein product,"['DT1P1A10', 'RP1-112K5.2', 'WGG motif containing 1', 'WGG1', 'escortin']","[{'GeneLocus': 'Xp11.22', 'LocusKey': 1}]",24942156[PMID]
124,Diamond-Blackfan anemia,Disease,RPL35,ribosomal protein L35,gene with protein product,"['60S ribosomal protein L35', 'L35', 'uL29']","[{'GeneLocus': '9q33.3', 'LocusKey': 1}]",28280134[PMID]
124,Diamond-Blackfan anemia,Disease,RPL8,ribosomal protein L8,gene with protein product,"['L8', 'uL2']","[{'GeneLocus': '8q24.3', 'LocusKey': 1}]",34961992[PMID]
